1,2,800000.000000,Current,Active,1688041041.000000
2,3,573000.000000,LongTerm,Active,1688041065.000000
3,2,427000.000000,ShortTerm,Active,1688041106.000000
4,2,472000.000000,LongTerm,Active,1688044533.000000
5,3,580000.000000,Current,Pending,1688044584.000000
6,4,538000.000000,ShortTerm,Active,1688045204.000000
7,5,836000.000000,Current,Active,1688045255.000000
8,5,540000.000000,LongTerm,Pending,1688045621.000000
9,4,340000.000000,ShortTerm,Pending,1688045771.000000
10,5,1014000.000000,Current,Active,1688045791.000000
11,4,20000.000000,ShortTerm,Pending,1688046266.000000
